,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Configurations,Project Area
13,Casagrand Crescendo,"Mogappair, Chennai west, Chennai","Feb, 2022",Price on request,1197.00 sq.ft. - 1265.00 sq.ft.,6 Buildings - 513 units,"Jun, 2018","Casagrand Crescendo is a project by Casagrand Builder Private Limited in Chennai. It is a Under Construction project. Casagrand Crescendo offers some of the most conveniently designed Apartment. Located in Ambattur Industrial Estate, it is a residential project. The project is spread over 3.88 Acres . It has 513 units. There are 6 buildings in this project. Casagrand Crescendo offers some of the most exclusive 3 BHK. As per the area plan, units are in the size range of 1530.0 - 1599.0 sq.ft.. Launched in June 2018, Casagrand Crescendo is slated for possession in Feb, 2022. The address of Casagrand Crescendo is Mogappair.Casagrand Crescendo ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium. If you are a sports lover, there are provisions meant for you such as Tennis Court, Squash Court, Basketball Court, Badminton Court, Cycling & Jogging Track. Some other provisions include access to Party Hall, Landscaped Garden, Multipurpose Room.All major banks such as LIC Housing Finance, HDFC have approved home loans for Casagrand Crescendo.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Casagrand Crescendo is TN/02/Building/0190/2018.Established in 2004, Casagrand Builder Private Limited is a renowned developer firm. Till date, Casagrand Builder Private Limited has developed 92 projects with a focus on healthy and sustainable lifestyle.Ambattur Industrial Estate is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/a47b8dd2f03a7395bfe8c1692b795b5e/v0/_p/casagrand_crescendo-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://is1-3.housingcdn.com/4f2250e8/a47b8dd2f03a7395bfe8c1692b795b5e/v0/large/casagrand_crescendo-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/EXxkx2PaqUI/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/08c778506cc5ec6a7068029b77d13423/v2/_p.jpeg']","2 BHK Apartment, Duplex",3.88 Acres
14,Casa Grand Tudor,"Chanakyan Main Road, Annamalai Ave, Mogappair, Chennai west, Chennai","Mar, 2022",Price on request,990.00 sq.ft. - 2228.00 sq.ft.,441 units,"Jan, 2020","Project Approval Authority : CMDA. No. of Floors as Stilt+7.Casagrand Builder has launched premium mega residential project Tudor, it is located in Mogappair, Chennai. The project will be built on an area of 6.31 acres and is offering 2, 3, and 4 BHK apartments for sale. Built-up area of 2 BHK apartments is in the range of 995 to 1363 sq ft. for 3 BHK apartments it is in the range of 1470 to 1947 sq ft. and for 4 BHK apartments it is in the range of 2211 to 2228 sq ft. Lifts, car parking areas, power back-up, gymnasium, swimming pool, basketball court, jogging track, cricket pitch, skating rink, facility to play indoor games, amphitheater, childrens play area, spa and sauna facility, party hall, landscaped gardens, regular supply of water and other amenities needed for a comfortable living are available in the complex. CCTV cameras and round the clock security will make the premises safe and secure. Specifications included in the apartments are vitrified tiles flooring in living room, bedrooms, and kitchen, anti-skid ceramic tiles flooring in bathrooms and balconies, glazed tiles on bathrooms and kitchen walls, emulsion paint on interior and exterior walls, CP fitting in the kitchen, wall mounted WC with health faucet in the bathrooms, concealed copper wiring, UPVC windows, modular switches, a laminated flush door at the entrance, and RCC framed structure. Mogappair is a popular area in Chennai. It is located close to important areas like Ambattur, Padi and Koyambedu. Infrastructure of the area is well-developed with many reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Mogappair is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place. Tudor was launched in February 2020 and will be ready by February 2022 for possession. A total number of 441 apartments were launched and these can be bought from Casagrand Builder.","['https://is1-2.housingcdn.com/4f2250e8/d3add072dea30e32c11466e8b399f6b7/v0/_p/casa_grand_tudor-mogappair-chennai-casagrand_builder_private_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d3add072dea30e32c11466e8b399f6b7/v0/large/casa_grand_tudor-mogappair-chennai-casagrand_builder_private_limited.jpeg', 'https://img.youtube.com/vi/6lBiJUjHjRo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/869a37a824b95efc49eaac815c25c68a/v0/_p.jpeg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/620b99d433a02d0011049e5c/preview.jpg']","2, 3, 4 BHK Apartments",6.31 Acres (70% open)
15,Casagrand Athens,"Mogappair, Chennai west, Chennai","Feb, 2023",4.45 K/sq.ft,1219.00 sq.ft. - 2222.00 sq.ft.,3 Buildings - 954 units,"Oct, 2020","Property for sale in Mogappair, Chennai. This project, that is, Casagrand Athens is a well designed project by Casagrand Builder Private Limited. It is offering Under Construction units. If you are looking at Apartment, you should check out Casagrand Athens. Set in an expanse of 8.09 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1113.0 - 1656.0 sq.ft.. Casagrand Athens was launched in November 2020. Project possession is slated for Feb, 2023. There are 3 buildings in this project. Total number of flats at Casagrand Athens is 954. Casagrand Athens is located in Mogappair. There are 954 units in this residential project.Come home to Casagrand Athens. It offers multiple facilities such as Gymnasium, RO Water System, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Tennis Court, Football Field, Cricket Pitch, Volleyball Court, Skating Rink, Aerobics Room, Basketball Court, Badminton Court, Cycling & Jogging Track. You will also get access to ATM, Spa/Sauna/Steam, Library, Restaurants/ Cafeterias, provisions in the project. It is an Earthquake Resistant Structure. It is a Gated Community. There is provision for Visitor Parking. These amenities make this property totally aspirational.Casagrand Athens has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is TN/02/Building/0423/2020.Casagrand Builder Private Limited is a renowned name in the real estate space. Founded in 2004, the company has developed as many as 92 projects.Social infrastructure like banks, schools and parks surround Mogappair area. It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/dc0a6c705c60a3693e6d79a4744b2ad8/v0/_p/casagrand_athens-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/dc0a6c705c60a3693e6d79a4744b2ad8/v0/large/casagrand_athens-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/uGoHL_HVa64/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3cffd3924d59024ff163a4f0005a15b6/v0/_p.jpg']","2, 3, 4 BHK Apartments",8.09 Acres (75% open)
16,Brigade Xanadu Cluster III Celeste,"Nolambur Village, No.1, Chanakyan Road, Mogappair, Chennai west, Chennai","Dec, 2025",7.21 K/sq.ft,1062.00 sq.ft. - 1878.00 sq.ft.,5 Buildings,,"Brigade Enterprises Ltd has lauched Brigade Xanadu Cluster III Celeste in Chinna Nolambur, Chennai. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1062.0 - 1878.0 sq.ft.. Overall, there are 5 buildings. The possession date of Brigade Xanadu Cluster III Celeste is Dec, 2025. The address of Brigade Xanadu Cluster III Celeste is Nolambur Village, No.1, Chanakyan Road, Mogappair.Ample provision for sports avenues such as Squash Court. Own a home in Brigade Xanadu Cluster III Celeste today!.This is a RERA registered project with RERA ID TN/29/Building/0018/2021 and fulfils all conditions placed by the state regulatory body.This project has been developed by Brigade Enterprises Ltd. Brigade Enterprises Ltd is a reputed developer firm with experience in developing livable spaces for homebuyers since 1986.Mogappair is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/a626f226efb6f8e8448fc4881928ebb9/v0/_p/brigade_xanadu_cluster_iii_celeste-chinna_nolambur-chennai-brigade_enterprises_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/a626f226efb6f8e8448fc4881928ebb9/v0/large/brigade_xanadu_cluster_iii_celeste-chinna_nolambur-chennai-brigade_enterprises_ltd.jpeg', 'https://img.youtube.com/vi/K6p3QhT1-SM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/030e198a43ba6a8eb20fd76e16a19708/v0/_p.jpeg']","2, 3 BHK Apartments",33 Acres (65% open)
17,Navins Hanging Gardens,"142, Arcot Rd, Valasaravakkam, Chennai west, Chennai","Mar, 2024",8.21 K/sq.ft,1139.00 sq.ft. - 1660.00 sq.ft.,1 Building - 107 units,"Sep, 2021","Chennai’s next big wonder, Navin’s Hanging Gardens is inspired from The Hanging Gardens of Babylon with first-of-its-kind terrace gardens. This iconic project is located right on Arcot Road, amidst the posh embrace of Chennai's Tinsel Town, Valasaravakkam. Luxurious 2 & 3 BHK homes let you experience the magic of nature blended into your homes with the masterful craftmanship of Navin's.","['https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/_p/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/large/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/0ea57c9567e9d77b8d5fa7583854424e/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1bcd647487378996441a92ef6f7bb82c/v0/_p.jpeg']","2, 3 BHK Apartments",0.89 Acres
18,Brigade Xanadu Cluster IV Destino,"Nolambur Village, No.1, Chanakyan Road, Nolambur, Mogappair, Chennai west, Chennai","Mar, 2024",6.19 K/sq.ft,682.00 sq.ft.,1 Building - 366 units,"Oct, 2020","Property for sale in Mogappair, Chennai. This project, that is, Brigade Xanadu Cluster IV Destino is a well designed project by Brigade Enterprises Ltd. It is offering Under Construction units. If you are looking at Apartment, you should check out Brigade Xanadu Cluster IV Destino. Available configurations include 1 BHK. As per the area plan, units are in the size of 682.0 sq.ft.. Brigade Xanadu Cluster IV Destino was launched in November 2020. Project possession is slated for Mar, 2024. There is 1 building  in this project. Total number of flats at Brigade Xanadu Cluster IV Destino is 366. Brigade Xanadu Cluster IV Destino is located in Nolambur Village, No.1, Chanakyan Road, Nolambur, Mogappair. There are 366 units in this residential project.Come home to Brigade Xanadu Cluster IV Destino. It offers multiple facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Squash Court, Basketball Court, Badminton Court, Cycling & Jogging Track. There is 24x7 Security. These amenities make this property totally aspirational.Brigade Xanadu Cluster IV Destino has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is TN/29/Building/0198/2020.Brigade Enterprises Ltd is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 97 projects.Social infrastructure like banks, schools and parks surround Mogappair area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/c68f8faa980a61705e8c8dcde5462c1c/v0/_p/brigade_xanadu_cluster_iv_destino-mogappair-chennai-brigade_enterprises_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/c68f8faa980a61705e8c8dcde5462c1c/v0/large/brigade_xanadu_cluster_iv_destino-mogappair-chennai-brigade_enterprises_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/9f4572464ea944c1849bb99b188312ed/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/10db21326bf8c9d141693a3e17c1783c/v0/_p.jpeg']",1 BHK Apartment,
19,Casa Grand Tudor,"Chanakyan Main Road, Annamalai Ave, Mogappair, Chennai west, Chennai","Mar, 2022",Price on request,990.00 sq.ft. - 2228.00 sq.ft.,441 units,"Jan, 2020","Project Approval Authority : CMDA. No. of Floors as Stilt+7.Casagrand Builder has launched premium mega residential project Tudor, it is located in Mogappair, Chennai. The project will be built on an area of 6.31 acres and is offering 2, 3, and 4 BHK apartments for sale. Built-up area of 2 BHK apartments is in the range of 995 to 1363 sq ft. for 3 BHK apartments it is in the range of 1470 to 1947 sq ft. and for 4 BHK apartments it is in the range of 2211 to 2228 sq ft. Lifts, car parking areas, power back-up, gymnasium, swimming pool, basketball court, jogging track, cricket pitch, skating rink, facility to play indoor games, amphitheater, childrens play area, spa and sauna facility, party hall, landscaped gardens, regular supply of water and other amenities needed for a comfortable living are available in the complex. CCTV cameras and round the clock security will make the premises safe and secure. Specifications included in the apartments are vitrified tiles flooring in living room, bedrooms, and kitchen, anti-skid ceramic tiles flooring in bathrooms and balconies, glazed tiles on bathrooms and kitchen walls, emulsion paint on interior and exterior walls, CP fitting in the kitchen, wall mounted WC with health faucet in the bathrooms, concealed copper wiring, UPVC windows, modular switches, a laminated flush door at the entrance, and RCC framed structure. Mogappair is a popular area in Chennai. It is located close to important areas like Ambattur, Padi and Koyambedu. Infrastructure of the area is well-developed with many reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Mogappair is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place. Tudor was launched in February 2020 and will be ready by February 2022 for possession. A total number of 441 apartments were launched and these can be bought from Casagrand Builder.","['https://is1-2.housingcdn.com/4f2250e8/d3add072dea30e32c11466e8b399f6b7/v0/_p/casa_grand_tudor-mogappair-chennai-casagrand_builder_private_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d3add072dea30e32c11466e8b399f6b7/v0/large/casa_grand_tudor-mogappair-chennai-casagrand_builder_private_limited.jpeg', 'https://img.youtube.com/vi/6lBiJUjHjRo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/869a37a824b95efc49eaac815c25c68a/v0/_p.jpeg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/620b99d433a02d0011049e5c/preview.jpg']","2, 3, 4 BHK Apartments",6.31 Acres (70% open)
20,Casa Grand Tudor,"Chanakyan Main Road, Annamalai Ave, Mogappair, Chennai west, Chennai","Mar, 2022",Price on request,990.00 sq.ft. - 2228.00 sq.ft.,441 units,"Jan, 2020","Project Approval Authority : CMDA. No. of Floors as Stilt+7.Casagrand Builder has launched premium mega residential project Tudor, it is located in Mogappair, Chennai. The project will be built on an area of 6.31 acres and is offering 2, 3, and 4 BHK apartments for sale. Built-up area of 2 BHK apartments is in the range of 995 to 1363 sq ft. for 3 BHK apartments it is in the range of 1470 to 1947 sq ft. and for 4 BHK apartments it is in the range of 2211 to 2228 sq ft. Lifts, car parking areas, power back-up, gymnasium, swimming pool, basketball court, jogging track, cricket pitch, skating rink, facility to play indoor games, amphitheater, childrens play area, spa and sauna facility, party hall, landscaped gardens, regular supply of water and other amenities needed for a comfortable living are available in the complex. CCTV cameras and round the clock security will make the premises safe and secure. Specifications included in the apartments are vitrified tiles flooring in living room, bedrooms, and kitchen, anti-skid ceramic tiles flooring in bathrooms and balconies, glazed tiles on bathrooms and kitchen walls, emulsion paint on interior and exterior walls, CP fitting in the kitchen, wall mounted WC with health faucet in the bathrooms, concealed copper wiring, UPVC windows, modular switches, a laminated flush door at the entrance, and RCC framed structure. Mogappair is a popular area in Chennai. It is located close to important areas like Ambattur, Padi and Koyambedu. Infrastructure of the area is well-developed with many reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Mogappair is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place. Tudor was launched in February 2020 and will be ready by February 2022 for possession. A total number of 441 apartments were launched and these can be bought from Casagrand Builder.","['https://is1-2.housingcdn.com/4f2250e8/d3add072dea30e32c11466e8b399f6b7/v0/_p/casa_grand_tudor-mogappair-chennai-casagrand_builder_private_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d3add072dea30e32c11466e8b399f6b7/v0/large/casa_grand_tudor-mogappair-chennai-casagrand_builder_private_limited.jpeg', 'https://img.youtube.com/vi/6lBiJUjHjRo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/869a37a824b95efc49eaac815c25c68a/v0/_p.jpeg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/620b99d433a02d0011049e5c/preview.jpg']","2, 3, 4 BHK Apartments",6.31 Acres (70% open)
21,Navins Hanging Gardens,"142, Arcot Rd, Valasaravakkam, Chennai west, Chennai","Mar, 2024",8.21 K/sq.ft,1139.00 sq.ft. - 1660.00 sq.ft.,1 Building - 107 units,"Sep, 2021","Chennai’s next big wonder, Navin’s Hanging Gardens is inspired from The Hanging Gardens of Babylon with first-of-its-kind terrace gardens. This iconic project is located right on Arcot Road, amidst the posh embrace of Chennai's Tinsel Town, Valasaravakkam. Luxurious 2 & 3 BHK homes let you experience the magic of nature blended into your homes with the masterful craftmanship of Navin's.","['https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/_p/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/large/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/0ea57c9567e9d77b8d5fa7583854424e/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1bcd647487378996441a92ef6f7bb82c/v0/_p.jpeg']","2, 3 BHK Apartments",0.89 Acres
22,RWD Grand Corridor,"Poonamallee High Road, Adjacent to KVN Kalyana Mandapam, Chennai west, Chennai","Dec, 2022",6.00 K/sq.ft,1061.00 sq.ft. - 1554.00 sq.ft.,3 Buildings - 356 units,"Feb, 2019","Looking for Apartment in Vanagaram , Chennai?. RWD Grand Corridor is a project by Ramky Wavoo Developers Pvt. Ltd.. The project is offering 2 BHK, 3 BHK. It is set in 3.82 Acres . RWD Grand Corridor is a Under Construction residential project. There are 356 units. There are 3 buildings in this project. As per the area plan, units are in the size range of 1061.0 - 1554.0 sq.ft.. RWD Grand Corridor is located in Poonamallee High Road, Adjacent to KVN Kalyana Mandapam. RWD Grand Corridor was launched in March 2019.RWD Grand Corridor offers a host of facilities for residents. This includes Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. These amenities in RWD Grand Corridor are those that every homebuyer aspires for!.For home loans, interested buyers can seek financing from major banks like LIC Housing Finance, HDFC.RERA ID is TN/02/Building/037/2019.RWD Grand Corridor is RERA-compliant and all necessary approvals are in place.Ramky Wavoo Developers Pvt. Ltd. is a reputed building firm with 13 projects since its inception in 2000.Vanagaram is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/1cdb1638b178bb3c1d049f2135565c1c/v0/_p/rwd_grand_corridor-vanagaram_1-chennai-ramky_wavoo_developers_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/1cdb1638b178bb3c1d049f2135565c1c/v0/large/rwd_grand_corridor-vanagaram_1-chennai-ramky_wavoo_developers_pvt_ltd.jpg', 'https://img.youtube.com/vi/EKuLpEml1wg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/cedeed46b5513cee7693619bdabe93f0/v0/_p.jpg']","2, 3 BHK Apartments",3.82 Acres
23,Risington,"Saligramam, Chennai south, Chennai","Dec, 2022",8.00 K/sq.ft,1105.00 sq.ft. - 1447.00 sq.ft.,1 Building - 7 units,,"Looking for Apartment in Vadapalani, Chennai?. Traventure Risington is a project by Traventure Homes Pvt Ltd. The project is offering 2 BHK, 3 BHK. It is set in 0.08 Acres . Traventure Risington is a Under Construction residential project. There are 7 units. There is 1 building in this project. As per the area plan, units are in the size range of 1105-1437 sq.ft.. Traventure Risington is located in Saligramam. Traventure Risington offers a host of facilities for residents. There is provision for Closed Car Parking. These amenities in Traventure Risington are those that every homebuyer aspires for!.","['https://is1-3.housingcdn.com/4f2250e8/fc639c008ca85773a2c1479a7ac51392/v0/_p/risington-vadapalani-chennai-traventure_homes_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/fc639c008ca85773a2c1479a7ac51392/v0/large/risington-vadapalani-chennai-traventure_homes_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/d69a685a53a9c20e0e8922c421ff6c11/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/36180addb74841e088800738ebedb01d/v0/_p.jpeg']","2, 3 BHK Apartments",0.08 Acres
24,Pushkar Royale Nalantha,"Shanthi Colony 4th Avenue, Anna Nagar, Chennai North, Chennai",Ready to Move,16.00 K/sq.ft,1500.00 sq.ft.,6 units,"Nov, 2019","Leading real estate developer Pushkar Properties has launched premium residential project Royale Nalantha in Anna Nagar, Chennai. The project is offering spacious and comfortable 3 BHK apartments for sale. Built-up area of 3 BHK apartments is 1475 sq ft. Anna Nagar is a popular area in Chennai. It is famous for Annanagar Tower, Anna Arch, Chinthamani, Blue Star, 14 Shops, Thirumangalam junction. Some nearby areas of Anna Nagar are Shanthi Colony, Nalanda Flats, Kurinji Colony and Jawahar Colony. Infrastructure of the area is good with many reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Anna Nagar is well-connected to other areas. Royale Nalantha was launched in December 2019, it is under construction and will be ready by April 2021 for possession. A total number of 6 apartments were launched, developer Pushkar Properties can be contacted for purchase of apartments.","['https://is1-3.housingcdn.com/4f2250e8/f601f875e019c080644dc24d32c1164a/v0/_p/pushkar_royale_nalantha-anna_nagar_chennai-chennai-pushkar_properties_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/f601f875e019c080644dc24d32c1164a/v0/large/pushkar_royale_nalantha-anna_nagar_chennai-chennai-pushkar_properties_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/b056ac52eba974eb41afce0b3a373c6f/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/dad679477c63b43a1d31f7afcb681da1/v0/_p.jpeg']",3 BHK Apartment,
25,India Builders Park Square,"No.10, 7th Street, I Block, Vallalar Kudiyiruppu, Anna Nagar, Chennai North, Chennai","Jun, 2022",14.68 K/sq.ft,1540.00 sq.ft.,1 Building - 5 units,"Oct, 2020","India Builders Park Square is a residential project in Anna Nagar, Chennai. It is set in an area of 0.1 Acres . India Builders Park Square offers Apartment. Available configurations include 3 BHK. Apartment, as per the area plan, are in the size of 1540.0 sq.ft.. The property is Under Construction. There is 1 building for sale. The project was launched in November 2020 and possession date of India Builders Park Square is Jun, 2022. India Builders Park Square is located in No.10, 7th Street, I Block, Vallalar Kudiyiruppu, Anna Nagar. The project is developed by India Builders Limited. There are 5 units for sale.India Builders Park Square is equipped with various resident-centric amenities that includes Power Backup. The property is equipped with Fire Sprinklers. There is provision for Closed Car Parking. Enjoy a class-apart lifestyle at India Builders Park Square.Located close to prominent suburbs of Chennai, the area of Anna Nagar has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/dd8198b155dff1af59bd9b4e1a30db3a/v0/_p/india_builders_park_square-anna_nagar_chennai-chennai-india_builders_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/dd8198b155dff1af59bd9b4e1a30db3a/v0/large/india_builders_park_square-anna_nagar_chennai-chennai-india_builders_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/078a34a40700942c2513cf92c214abff/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/19a9284c40015d6c01f5177dd20a22e3/v0/_p.jpeg']",3 BHK Apartment,0.1 Acres
26,RWD Grand Corridor,"Poonamallee High Road, Adjacent to KVN Kalyana Mandapam, Chennai west, Chennai","Dec, 2022",6.00 K/sq.ft,1061.00 sq.ft. - 1554.00 sq.ft.,3 Buildings - 356 units,"Feb, 2019","Looking for Apartment in Vanagaram , Chennai?. RWD Grand Corridor is a project by Ramky Wavoo Developers Pvt. Ltd.. The project is offering 2 BHK, 3 BHK. It is set in 3.82 Acres . RWD Grand Corridor is a Under Construction residential project. There are 356 units. There are 3 buildings in this project. As per the area plan, units are in the size range of 1061.0 - 1554.0 sq.ft.. RWD Grand Corridor is located in Poonamallee High Road, Adjacent to KVN Kalyana Mandapam. RWD Grand Corridor was launched in March 2019.RWD Grand Corridor offers a host of facilities for residents. This includes Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. These amenities in RWD Grand Corridor are those that every homebuyer aspires for!.For home loans, interested buyers can seek financing from major banks like LIC Housing Finance, HDFC.RERA ID is TN/02/Building/037/2019.RWD Grand Corridor is RERA-compliant and all necessary approvals are in place.Ramky Wavoo Developers Pvt. Ltd. is a reputed building firm with 13 projects since its inception in 2000.Vanagaram is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/1cdb1638b178bb3c1d049f2135565c1c/v0/_p/rwd_grand_corridor-vanagaram_1-chennai-ramky_wavoo_developers_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/1cdb1638b178bb3c1d049f2135565c1c/v0/large/rwd_grand_corridor-vanagaram_1-chennai-ramky_wavoo_developers_pvt_ltd.jpg', 'https://img.youtube.com/vi/EKuLpEml1wg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/cedeed46b5513cee7693619bdabe93f0/v0/_p.jpg']","2, 3 BHK Apartments",3.82 Acres
27,Brigade Xanadu,"81, 2nd Ave, Nolambur, West Mogappair, Chennai west, Chennai",Under Construction,Price on request,797.00 sq.ft. - 872.00 sq.ft.,4 Buildings - 264 units,"Apr, 2017","Check out this residential project for sale by Brigade Enterprises Ltd in Mogappair, Chennai. Brigade Xanadu offers Apartment as property type. The project has been developed in an area of 33 Acres . It is currently Under Construction. Available configurations include 2 BHK, 2.5 BHK, 3 BHK. As per the area plan, units are in the size range of 1062.0 - 1878.0 sq.ft.. Brigade Xanadu was launched in May 2021. Brigade Xanadu possession is Dec, 2023. Altogether, there are 1576 units available. There is 1 building in this property. The address of Brigade Xanadu is 81, 2nd Ave, Nolambur, West Mogappair.At Brigade Xanadu, all residents have easy access to some of the truly desired facilities such as Gymnasium, RO Water System, Power Backup. If you are a sports lover, there are provisions meant for you such as a Squash Court, Aerobics Room, Basketball Court, Badminton Court. Brigade Xanadu is an Earthquake Resistant Structure. Other facilities include ATM, Spa/Sauna/Steam, Restaurants/ Cafeterias, Internet / Wi-Fi, provisions in the project. Kids can use the Children's Play Area, nearby apart from Swimming Pool. The property has Fire Retardant Structure. There is 24x7 Security, Security Guards. It is a Gated Community. Come home to Brigade Xanadu.LIC Housing Finance, HDFC have approved home loans for Brigade Xanadu.Brigade Xanadu is approved by the state regulatory authority and the RERA ID is TN/02/Building/0016/2017.Brigade Enterprises Ltd is a renowned developer firm. The company was established in 1986 and has 97 projects to its credit.Mogappair is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/7478c2673d4ad9300cd1dfdae19d99b4/v0/_p/brigade_xanadu-mogappair-chennai-brigade_enterprises_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7478c2673d4ad9300cd1dfdae19d99b4/v0/large/brigade_xanadu-mogappair-chennai-brigade_enterprises_ltd.jpg', 'https://img.youtube.com/vi/LBhhkoPCvSc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/d5da39ea5211e33567d01f696e7ad3e5/v0/_p.jpg']",2 BHK Apartment,33 Acres (60% open)
