,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images,Rera Id
10,Vivaan Park,"Survey No. 261, Lohegaon, Pune","2, 3 BHK Apartments","Dec, 2023",Price on request,616.00 sq.ft. - 940.00 sq.ft.,2 Acres,4 Buildings - 294 units,,"There is never a dull movement at VIVAAN PARK! Get your daily dose of wellness at the Yoga Room. Play out a good game at the Multipurpose Sports Cluster. Celebrate in style at the well-maintained Party Lawn and head to the Club House for some quality leisure time. We have thoughtfully created an environment where residents experience a sense of belonging. Project amenities such as the Club House or Party Lawn, where home owners can catch up and socialize, add to the joy of community living.","['https://is1-3.housingcdn.com/4f2250e8/795a582540ff7aa295df9f63e049765d/v0/_p/vivaan_park-lohegaon-pune-shriram_associates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/795a582540ff7aa295df9f63e049765d/v0/large/vivaan_park-lohegaon-pune-shriram_associates.jpeg', 'https://is1-3.housingcdn.com/012c1500/6776b03da061d04cd5ac6175e6a18185/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/4a21b80eb8bb75d0fc1dc4df072bb637/v0/_p.jpeg']",
11,Yashada Supreme,"Moshi Alandi Road, Pune","2, 3 BHK Apartments","Dec, 2027",5.60 K/sq.ft,556.00 sq.ft. - 884.00 sq.ft.,5.68 Acres,,"Dec, 2021","Yashada Realty Group has lauched Yashada Supreme in Dudulgaon, Pune. A residential project spread over 5.68 Acres , it offers ample amount of facilities for residents. The project was launched in January 2022. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 556.0 - 884.0 sq.ft.. The possession date of Yashada Supreme is Dec, 2027. The address of Yashada Supreme is Moshi Alandi Road.Enjoy a host of facilities at Yashada Supreme which includes Gymnasium. Children have access to Children's Play Area, nearby apart from Swimming Pool. Residents will enjoy access to Barbecue Area, Library, provisions in the project. Other provisions include access to Landscaping & Tree Planting, Sewage Treatment Plant. Own a home in Yashada Supreme today!.This is a RERA registered project with RERA ID P52100032394 and fulfils all conditions placed by the state regulatory body.This project has been developed by Yashada Realty Group. Yashada Realty Group is a reputed developer firm with experience in developing livable spaces for homebuyers since 2000.Alandi is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/3bd87926d6bbb38dcdfcc3efb178d129/v0/_p/yashada_supreme-dudulgaon-pune-yashada_realty_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/3bd87926d6bbb38dcdfcc3efb178d129/v0/large/yashada_supreme-dudulgaon-pune-yashada_realty_group.jpeg', 'https://img.youtube.com/vi/tHwpuPACMAI/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/54164a295685a946d0557a037c8ec8f1/v0/_p.jpeg']",
12,Yashada Splendid Park,"Alandi, Pune",2 BHK Apartment,"Jul, 2024",6.55 K/sq.ft,551.00 sq.ft. - 610.00 sq.ft.,6 Acres,5 Buildings - 546 units,"Aug, 2019","Situated in Alandi at Alandi, Yashada Splendid Park is a residential development launched by Yashada Realty Group. This project provides a vast range of amenities including . Prominent suburbs of Alandi are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/1eb501fa03c5abe1ca5e81fe238d0da7/v0/_p/yashada_splendid_park-alandi-pune-yashada_realty_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/1eb501fa03c5abe1ca5e81fe238d0da7/v0/large/yashada_splendid_park-alandi-pune-yashada_realty_group.jpeg', 'https://img.youtube.com/vi/JJTaQe2zzZo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2e7ee2462774fcc630f4ab217a341124/v0/_p.jpeg']",
13,Pride Kingsbury Phase I,"Lohegaon, Pune, Pune","2, 3 BHK Apartments","Dec, 2021",Price on request,646.00 sq.ft. - 927.00 sq.ft.,,6 Buildings - 480 units,"Feb, 2016","Kingsbury is a project just 10 minutes from Viman Nagar. It offers an unparalleled space in Pune, created by expert town planning professionals to provide its citizens world-class infrastructure and a global lifestyle. A space which is yours to live, to work, to access international brands, be close to state-of-the-art healthcare and educational institutions and yet be a place of peace and tranquility for yourself and your family. Brooklyn and Long Island are the 1st phase of development in Sector 4. Pune's new city center, a well-connected city. Its strategic location is pitched to be the most rapidly growing area in the city. The bus terminus within this city connects to every part of Pune. This strategic location is in the centre of the larger Pune Metropolitan Area and is poised to be the best suburb of future Pune.","['https://is1-2.housingcdn.com/4f2250e8/c31e0a5678adc5596439ecbb55bb15b0/v2/_p/pride_kingsbury_phase_i-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c31e0a5678adc5596439ecbb55bb15b0/v2/large/pride_kingsbury_phase_i-charholi_budruk-pune-pride_group.jpg', 'https://img.youtube.com/vi/WQN6m7timz4/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/ca8d26ba3aa23ccca3057c6fb04f6b48/v2/_p.jpg']",
14,Nexus Gulmohar,"Airport Road, Charholi Budruk, Alandi, Pune","1, 2, 3 BHK Apartments","Jun, 2022",Price on request,349.00 sq.ft. - 647.00 sq.ft.,1 Acres,2 Buildings - 142 units,"Apr, 2019","Are you looking for a win-win deal for a long time? Look no further. Here comes Nexus Gulmohar. A project that will not only meet your aspirations in terms of end use but grow your wealth in the long term, in the form of impressive capital gains.Located at a very high-potential location in Alandi in Pune, this residential real estate project is the one that comes once in several decades. The prices of the apartments are kept at affordable levels, quality of construction is second to none and there is very deep level of planning when it comes to facilities and maintenance. What else do you expect from a housing project?If you talk about the location, it surely is one of the best in the Pune region. The state of physical infrastructure is progressive in nature and you will find new roads construction and upgradation activities all around. Be it schools, convenience stores, nursing homes, banks, ATMs or so on, all the facilities are located just nearby. Just do not take our word for it, spare some time and check out this project. Give us a call and we will be happy to assist you.","['https://is1-3.housingcdn.com/4f2250e8/c5e80e8675659a2cd3e572fc3aab27ea/v0/_p/nexus_gulmohar-charholi_budruk-pune-diamond_nexus_associates.jpg', 'https://is1-3.housingcdn.com/4f2250e8/c5e80e8675659a2cd3e572fc3aab27ea/v0/large/nexus_gulmohar-charholi_budruk-pune-diamond_nexus_associates.jpg', 'https://is1-3.housingcdn.com/012c1500/e104e12810ba67e8cbb25d2d350df6be/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/38e25b52d8520cd92a20e0275be6db5c/v0/_p.jpeg']",
15,The Pride World City,"Off  D.Y. Patil Road, Near Dr. D. Y. Patil School of Engineering, Pune","1, 2, 3 BHK Apartments",Ready to Move,7.50 K/sq.ft,450.00 sq.ft. - 1424.00 sq.ft.,,1 Building - 10 units,"Feb, 2015","Pride Purple Group offers you a brand new lifestyle- The Pride World City located in Charholi Budruk, Pune. This abode is immaculately planned and aesthetically designed to showcase what upclass living is all about. The delight of the residents is that the creators have ensured of everything you need, before even you step in there. Experience a premium lifestyle that will make you proud owner of these wonderful residency. The contemporary elevation and thoughtful layout is an impeccable blend of aesthetics and design. The Pride World City is available with world-class amenities and modern facilities. ","['https://is1-2.housingcdn.com/4f2250e8/0d6f84bf44e3fab9b5d52ea8357e4c87/v6/_p/the_pride_world_city-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/0d6f84bf44e3fab9b5d52ea8357e4c87/v6/large/the_pride_world_city-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/012c1500/7575349dc8f2d65236b79c3b4799d5f7/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/ec458803ee2fbe8649bcf043a10785b1/v0/_p.jpg']",
16,Vivaan Park,"Survey No. 261, Lohegaon, Pune","2, 3 BHK Apartments","Dec, 2023",Price on request,616.00 sq.ft. - 940.00 sq.ft.,2 Acres,4 Buildings - 294 units,,"There is never a dull movement at VIVAAN PARK! Get your daily dose of wellness at the Yoga Room. Play out a good game at the Multipurpose Sports Cluster. Celebrate in style at the well-maintained Party Lawn and head to the Club House for some quality leisure time. We have thoughtfully created an environment where residents experience a sense of belonging. Project amenities such as the Club House or Party Lawn, where home owners can catch up and socialize, add to the joy of community living.","['https://is1-3.housingcdn.com/4f2250e8/795a582540ff7aa295df9f63e049765d/v0/_p/vivaan_park-lohegaon-pune-shriram_associates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/795a582540ff7aa295df9f63e049765d/v0/large/vivaan_park-lohegaon-pune-shriram_associates.jpeg', 'https://is1-3.housingcdn.com/012c1500/6776b03da061d04cd5ac6175e6a18185/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/4a21b80eb8bb75d0fc1dc4df072bb637/v0/_p.jpeg']",
17,Pride Notting Hill,"Chimbali, Near, At Charholi, Lohegaon, Pune","3, 4 BHK Villas","Jun, 2021",6.19 K/sq.ft,2335.00 sq.ft. - 4284.00 sq.ft.,2 Acres,28 units,"Jun, 2017","Pride Notting Hill Phase I is an upcoming housing project at Charholi Budruk in Pune, being developed by Pride Group. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Pride Notting Hill Phase I encompasses amenities such as . ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-3.housingcdn.com/4f2250e8/89cdab503f0535e6956b639c8be8161f/v2/_p/pride_notting_hill-charholi_budruk-pune-pride_builders_llp.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/89cdab503f0535e6956b639c8be8161f/v2/large/pride_notting_hill-charholi_budruk-pune-pride_builders_llp.jpeg', 'https://is1-3.housingcdn.com/012c1500/deb4195c77c7ee3ec51775baccc63845/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/e46b89ea4773dc31313dc00d73cbcf53/v0/_p.jpeg']",
18,Nexus Gulmohar,"Airport Road, Charholi Budruk, Alandi, Pune","1, 2, 3 BHK Apartments","Jun, 2022",Price on request,349.00 sq.ft. - 647.00 sq.ft.,1 Acres,2 Buildings - 142 units,"Apr, 2019","Are you looking for a win-win deal for a long time? Look no further. Here comes Nexus Gulmohar. A project that will not only meet your aspirations in terms of end use but grow your wealth in the long term, in the form of impressive capital gains.Located at a very high-potential location in Alandi in Pune, this residential real estate project is the one that comes once in several decades. The prices of the apartments are kept at affordable levels, quality of construction is second to none and there is very deep level of planning when it comes to facilities and maintenance. What else do you expect from a housing project?If you talk about the location, it surely is one of the best in the Pune region. The state of physical infrastructure is progressive in nature and you will find new roads construction and upgradation activities all around. Be it schools, convenience stores, nursing homes, banks, ATMs or so on, all the facilities are located just nearby. Just do not take our word for it, spare some time and check out this project. Give us a call and we will be happy to assist you.","['https://is1-3.housingcdn.com/4f2250e8/c5e80e8675659a2cd3e572fc3aab27ea/v0/_p/nexus_gulmohar-charholi_budruk-pune-diamond_nexus_associates.jpg', 'https://is1-3.housingcdn.com/4f2250e8/c5e80e8675659a2cd3e572fc3aab27ea/v0/large/nexus_gulmohar-charholi_budruk-pune-diamond_nexus_associates.jpg', 'https://is1-3.housingcdn.com/012c1500/e104e12810ba67e8cbb25d2d350df6be/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/38e25b52d8520cd92a20e0275be6db5c/v0/_p.jpeg']",
19,The Pride World City,"Off  D.Y. Patil Road, Near Dr. D. Y. Patil School of Engineering, Pune","1, 2, 3 BHK Apartments",Ready to Move,7.50 K/sq.ft,450.00 sq.ft. - 1424.00 sq.ft.,,1 Building - 10 units,"Feb, 2015","Pride Purple Group offers you a brand new lifestyle- The Pride World City located in Charholi Budruk, Pune. This abode is immaculately planned and aesthetically designed to showcase what upclass living is all about. The delight of the residents is that the creators have ensured of everything you need, before even you step in there. Experience a premium lifestyle that will make you proud owner of these wonderful residency. The contemporary elevation and thoughtful layout is an impeccable blend of aesthetics and design. The Pride World City is available with world-class amenities and modern facilities. ","['https://is1-2.housingcdn.com/4f2250e8/0d6f84bf44e3fab9b5d52ea8357e4c87/v6/_p/the_pride_world_city-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/0d6f84bf44e3fab9b5d52ea8357e4c87/v6/large/the_pride_world_city-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/012c1500/7575349dc8f2d65236b79c3b4799d5f7/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/ec458803ee2fbe8649bcf043a10785b1/v0/_p.jpg']",
