,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images
31,Godrej Reserve Phase 1,"Devanahalli Hobli Village, Lakshmipura, North Bangalore, Bangalore",Residential Plots,"Oct, 2021",2.50 K/sq.ft,1500.00 sq.ft. - 3200.00 sq.ft.,92.7 Acres,954 units,"Nov, 2018","Godrej Reserve Phase 1 is a residential plot by Godrej Properties Ltd.. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1500.0 sq.ft. and the maximum size is 3200.0 sq.ft.. This project was launched on November 2018. There are 954 units in Godrej Reserve Phase 1. The address of Godrej Reserve Phase 1 is Devanahalli Hobli Village, Lakshmipura.Godrej Reserve Phase 1 ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Squash Court, Skating Rink, Basketball Court, Badminton Court, Cycling & Jogging Track, Golf Course.  Residents can also enjoy Spa/Sauna/Steam, Library, provisions in the project.  There is 24x7 Security. It is aGated Community. Other provisions include access to Banquet Hall, Party Hall, Landscaped Garden, Storm Water Drains, Sewage Treatment Plant, Shopping Mall.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/303/PR/181122/002158, PRM/KA/RERA/1250/303/PR/181123/002192.Godrej Properties Ltd. is a reputed developer firm established in 1990. The firm has since then developed 159 and focuses on customer-centricity. Check out Godrej Reserve Phase 1 brochure for more details.Setterahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/c0dda7b6df47ff1841383ad804fd3611/v0/_p/godrej_reserve_phase_1-devanahalli-bengaluru-godrej_properties_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c0dda7b6df47ff1841383ad804fd3611/v0/large/godrej_reserve_phase_1-devanahalli-bengaluru-godrej_properties_ltd.jpg', 'https://img.youtube.com/vi/Jv3ryMgN_ao/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/bd887c42acf974cdcaa4e9ec761d8f2a/v0/_p.jpg']"
32,Hiranandani Devanahalli Villa,"Near Cafe Coffee Day & Hiranandani Upscale, Bangalore- Hyderabad Highway, Prasannahalli Main Road, North Bangalore, Bangalore",4 BHK Villa,Ready to Move,7.00 K/sq.ft,4055.00 sq.ft.,80 Acres,45 units,"Jan, 2012","Bangalore's residential project, Hiranandani Devanahalli Villa is offering property for sale. Check out some Villa. Available configurations include 4 BHK formats in Chikkasanne. It is a Ready to Move project by House of Hiranandani. Hiranandani Devanahalli Villa is set in an area of 80 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size of 4055.0 sq.ft.. Hiranandani Devanahalli Villa was launched in February 2012 and possession date is Jun, 2016. There are 45 units in Hiranandani Devanahalli Villa. There are 45 buildings. Hiranandani Devanahalli Villa is located in Near Cafe Coffee Day & Hiranandani Upscale, Bangalore- Hyderabad Highway, Prasannahalli Main Road.There are multiple amenities for residents at Hiranandani Devanahalli Villa which includes Gymnasium, Power Backup. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts will like the Tennis Court, Squash Court, Volleyball Court, Basketball Court, Badminton Court, Cycling & Jogging Track. Enjoy access to Internet / Wi-Fi, provisions in the project. The property has Fire Retardant Structure. It is an Earthquake Resistant Structure. There is Security Guards. It is a Gated Community. Other provisions include access to Business Center, Landscaped Garden, Sewage Treatment Plant. The property is Vastu Compliant. Own a home in Hiranandani Devanahalli Villa today!.Banks such as LIC Housing Finance, HDFC have approved financing for Hiranandani Devanahalli Villa.Chikkasanne is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/5a27ccfea0ad1d3a89f0faf677eb30bd/v5/_p/hiranandani_devanahalli_villa-devanahalli-bengaluru-house_of_hiranandani.jpg', 'https://is1-3.housingcdn.com/4f2250e8/5a27ccfea0ad1d3a89f0faf677eb30bd/v5/large/hiranandani_devanahalli_villa-devanahalli-bengaluru-house_of_hiranandani.jpg', 'https://img.youtube.com/vi/ElZPxvc1G7o/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/fec6d734d37110b98b04aee5768233a5/v0/_p.jpg']"
33,Salarpuria Sattva Serene Life,"Opp Mc Donalds, NH7, Shettigere, Near Toll Gate, Sadahalli Gate Right, Yerthiganahalli, Devanahalli, North Bangalore, Bangalore",Residential Plots,"Jun, 2019",4.99 K/sq.ft,1163.00 sq.ft. - 3875.00 sq.ft.,32.27 Acres,409 units,"Nov, 2018","Salarpuria Sattva Serene Life is a residential plot by Salarpuria Sattva. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1163.0 sq.ft. and the maximum size is 3875.0 sq.ft.. This project was launched on December 2018. There are 409 units in Salarpuria Sattva Serene Life. The address of Salarpuria Sattva Serene Life is Opp Mc Donalds, NH7, Shettigere, Near Toll Gate, Sadahalli Gate Right, Yerthiganahalli, Devanahalli.Salarpuria Sattva Serene Life ensures a coveted lifestyle and offers a convenient living. Sports enthusiasts can also make the most of Squash Court, Badminton Court, Cycling & Jogging Track. Other provisions include access to Party Hall, Landscaped Garden, Landscaping & Tree Planting, Storm Water Drains, Sewage Treatment Plant, Multipurpose Room.Salarpuria Sattva Serene Life is now available with attractive Pay 25% now & Own your home.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/303/PR/181215/002219.Salarpuria Sattva is a reputed developer firm established in 1986. The firm has since then developed 63 and focuses on customer-centricity. Check out Salarpuria Sattva Serene Life brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/df54498291fc9c4d0e2ca467d2e70b38/v0/_p/salarpuria_sattva_serene_life-devanahalli-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/df54498291fc9c4d0e2ca467d2e70b38/v0/large/salarpuria_sattva_serene_life-devanahalli-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/Ux9NissjXEk/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/508cfb61df1beaac32fc005ea57f45dd/v0/_p.jpeg']"
34,Brigade Ivory,"Sy No. 41(P), Devanahalli Village, Kasaba Hobli, Bangalore Rural, Devanahalli, North Bangalore, Bangalore","1 RK, 1, 2, 3 BHK Apartments","Dec, 2025",4.90 K/sq.ft,301.00 sq.ft. - 743.00 sq.ft.,,,,"Brigade Ivory is a project by Brigade Enterprises Ltd in Bangalore. It is a Under Construction project. Brigade Ivory offers some of the most conveniently designed Apartment. Located in Devanahalli, it is a residential project. Brigade Ivory offers some of the most exclusive 1 RK, 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 301.0 - 743.0 sq.ft.. The address of Brigade Ivory is Sy No. 41(P), Devanahalli Village, Kasaba Hobli, Bangalore Rural, Devanahalli.Brigade Ivory ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. There is 24x7 Security. It is a Gated Community. Some other provisions include access to Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant.Established in 1986, Brigade Enterprises Ltd is a renowned developer firm. Till date, Brigade Enterprises Ltd has developed 100 projects with a focus on healthy and sustainable lifestyle.Devanahalli is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/3dbf87f202a651f22ca38d989d6d8325/v0/_p/brigade_ivory-devanahalli-bengaluru-brigade_enterprises_ltd.png', 'https://is1-2.housingcdn.com/4f2250e8/3dbf87f202a651f22ca38d989d6d8325/v0/large/brigade_ivory-devanahalli-bengaluru-brigade_enterprises_ltd.png']"
35,Century Seasons,"Lakshmipura Village, Kasaba Hobli, Devanahalli, North Bangalore, Bangalore",Residential Plots,"Jan, 2024",3.55 K/sq.ft,1500.00 sq.ft. - 2400.00 sq.ft.,25.02 Acres (50% open),329 units,,"Century Seasons is a residential plot by Century Real Estate Holdings. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1500.0 sq.ft. and the maximum size is 2400.0 sq.ft.. There are 329 units in Century Seasons. The address of Century Seasons is Lakshmipura Village, Kasaba Hobli, Devanahalli.Century Seasons ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium.  For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Basketball Court.  Residents can also enjoy Spa/Sauna/Steam, provisions in the project. It is aGated Community. Other provisions include access to Banquet Hall, Landscaping & Tree Planting, Solid Waste Management And Disposal, Multipurpose Room.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/303/PR/210302/003971.Century Real Estate Holdings is a reputed developer firm established in 1973. The firm has since then developed 41 and focuses on customer-centricity. Check out Century Seasons brochure for more details.Setterahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/574dfb9194dccd41ce6d3ad4c959e6bf/v0/_p/century_seasons-devanahalli-bengaluru-century_real_estate_holdings.jpg', 'https://is1-3.housingcdn.com/4f2250e8/574dfb9194dccd41ce6d3ad4c959e6bf/v0/large/century_seasons-devanahalli-bengaluru-century_real_estate_holdings.jpg', 'https://img.youtube.com/vi/b7kiQW-Dpe0/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/1b9d731a4fe8fcbc31341d25c24d042f/v0/_p.jpeg']"
36,BRC SBI New Bangalore,"Devanahalli, North Bangalore, Bangalore",Residential Plots,"Jan, 2022",981/sq.ft,1200.00 sq.ft. - 12000.00 sq.ft.,,,,"BRC SBI New Bangalore is a residential plot by Bangalore Real Estate Company. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 12000.0 sq.ft.. The address of BRC SBI New Bangalore is Devanahalli.BRC SBI New Bangalore ensures a coveted lifestyle and offers a convenient living.  For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch.  Residents can also enjoy Library, provisions in the project.  There is 24x7 Security. Other provisions include access to Storm Water Drains.The firm has since then developed 3 and focuses on customer-centricity. Check out BRC SBI New Bangalore brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/f3a6c6d610f4faed65e5e157e61a7959/v0/_p/brc_sbi_new_bangalore-devanahalli-bengaluru-bangalore_real_estate_company.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/f3a6c6d610f4faed65e5e157e61a7959/v0/large/brc_sbi_new_bangalore-devanahalli-bengaluru-bangalore_real_estate_company.jpeg', 'https://img.youtube.com/vi/1Y_4NN6dASs/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/5a83a7bf40590beb576667175972db41/v0/_p.jpeg']"
37,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
38,BCV Pavilion Villas at Brigade Orchards,"Devanahalli, Bangalore North, Bangalore",4 BHK Villa,,6.61 K/sq.ft,4900.00 sq.ft. - 4940.00 sq.ft.,130 Acres,,,"Residential project, BCV Pavilion Villas at Brigade Orchards in Bangalore is offering units for sale in Bychapura. Check out some Villa that suit your lifestyle and liking. The property offers 4 BHK units. As per the area plan, units are in the size range of 4900.0 - 4940.0 sq.ft.. The project by BCV Developers is set in 130 Acres . There is 1 building in this project. Contact for further details. BCV Pavilion Villas at Brigade Orchards is located in Devanahalli, Bangalore North.In terms of facilities, BCV Pavilion Villas at Brigade Orchards is loaded with multiple offerings such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, School, nearby apart from Swimming Pool, Sports Area. Immerse yourself in a world of sports with provisions for Golf Course. There is 24x7 Security.Bank financing is approved by the following financial institutions such as HDFC, ICICI Bank.BCV Developers is a very well-known developer-firm in this real estate market. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Bangalore are close by to Bychapura and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/d6f4c42dc7a560c0c61241c0432f4618/v0/_p/bcv_pavilion_villas_at_brigade_orchards-devanahalli-bengaluru-bcv_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d6f4c42dc7a560c0c61241c0432f4618/v0/large/bcv_pavilion_villas_at_brigade_orchards-devanahalli-bengaluru-bcv_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/3ca9a377317d83d53212b9d743611c29/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/0324fdbcc4b3f2913b0960a835c2ecd1/v0/_p.jpeg']"
39,Housso Grevillea,"Sy No 106/4, Hemarnahalli Village, Hoskote, Bangalore",Residential Plots,"Mar, 2022",Price on request,1200.00 sq.ft. - 2000.00 sq.ft.,30 Acres,500 units,"Oct, 2020","Housso Grevillea is a residential plot by Housso. This plot is available for sale in H Cross, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 2000.0 sq.ft.. This project was launched on November 2020. There are 500 units in Housso Grevillea. The address of Housso Grevillea is Sy No 106/4, Hemarnahalli Village, Hoskote.Housso Grevillea ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Football Field, Cricket Pitch, Volleyball Court, Basketball Court, Badminton Court.  Residents can also enjoy Barbecue Area, provisions in the project.  There is 24x7 Security. It is aGated Community. Other provisions include access to Landscaped Garden, Sewage Treatment Plant.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1254/465/PR/201215/003753.The firm has since then developed 2 and focuses on customer-centricity. Check out Housso Grevillea brochure for more details.H Cross is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/287866e456a754f7be3cbd23ad436d27/v0/_p/housso_grevillea-h_cross-bengaluru-housso.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/287866e456a754f7be3cbd23ad436d27/v0/large/housso_grevillea-h_cross-bengaluru-housso.jpeg', 'https://img.youtube.com/vi/3tdkrE9xkT4/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/06e90a2d268647cf1486e73d41967bf6/v0/_p.jpeg']"
40,Artha Midas at Neo Smart City,"Near Hoskote, Banglore, Bangalore","1, 1.5, 2 BHK Apartments",Ready to Move,2.94 K/sq.ft,509.00 sq.ft. - 862.00 sq.ft.,10 Acres,6 Buildings - 324 units,"Aug, 2015","Artha Midas at Neo Smart City is a project by Artha Property in Bangalore. It is a Ready to Move project. Artha Midas at Neo Smart City offers some of the most conveniently designed Apartment. The project is spread over 10 Acres . It has 324 units. There are 6 buildings in this project. Artha Midas at Neo Smart City offers some of the most exclusive 1 BHK, 1.5 BHK, 2 BHK. As per the area plan, units are in the size range of 509.0 - 862.0 sq.ft.. Launched in September 2015, Artha Midas at Neo Smart City is slated for possession in Dec, 2018. The address of Artha Midas at Neo Smart City is Near Hoskote, Banglore.Artha Midas at Neo Smart City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Aerobics Room, Cycling & Jogging Track. Residents also have access to ATM provisions in the project. Some other provisions include access to Party Hall.All major banks such as HDFC have approved home loans for Artha Midas at Neo Smart City.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Artha Midas at Neo Smart City is PRM/KA/RERA/1250/304/PR/171021/001161.Established in 2008, Artha Property is a renowned developer firm. Till date, Artha Property has developed 33 projects with a focus on healthy and sustainable lifestyle.","['https://is1-2.housingcdn.com/4f2250e8/8261bc1fcd169e55674d6663dc936217/v6/_p/artha_midas_at_neo_smart_city-hoskote-bengaluru-artha_property.jpg', 'https://is1-2.housingcdn.com/4f2250e8/8261bc1fcd169e55674d6663dc936217/v6/large/artha_midas_at_neo_smart_city-hoskote-bengaluru-artha_property.jpg', 'https://is1-3.housingcdn.com/91aba65c/d7d478b7c92bf93ffa6e3a02bcc438a8/v2/_p.jpeg', 'https://is1-3.housingcdn.com/91aba65c/8acb66ec7178ecbf5bc0cdbbb8ac6b85/v2/_p.jpeg']"
41,Akshya Elite Park,"Kolar Chikkabalapura Road, H Cross, Bangalore, Bangalore",Residential Plots,Ready to Move,500/sq.ft,1200.00 sq.ft. - 4000.00 sq.ft.,,349 units,"May, 2014","Akshya Elite Park is a residential plot by Akshya Developers. This plot is available for sale in Kumbiganahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 4000.0 sq.ft.. This project was launched on June 2014. There are 349 units in Akshya Elite Park. The address of Akshya Elite Park is Kolar Chikkabalapura Road, H Cross, Bangalore.Akshya Elite Park ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Rainwater Harvesting, Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, nearby apart from Indoor Game Room - Billiards/Snooker Table, Carom Board, Table Tennis, Foosball Table, Swimming Pool. Sports enthusiasts can also make the most of Cycling & Jogging Track.  There is 24x7 Security.Bank loan is approved from major banks such as PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.The firm has since then developed 4 and focuses on customer-centricity. Check out Akshya Elite Park brochure for more details. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/012c1500/046fff7f65665e5d6d8635e66efa8042/v2/_p/akshya_elite_park-kumbiganahalli-bengaluru-akshya_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/046fff7f65665e5d6d8635e66efa8042/v2/large/akshya_elite_park-kumbiganahalli-bengaluru-akshya_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/046fff7f65665e5d6d8635e66efa8042/v2/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/08f6057633ba21b2fde24e4d3b0756a7/v2/_p.jpeg']"
42,Kadam Lake View Township,"Kolar Road, Near H Cross, Bangalore, Bangalore",Residential Plots,Ready to Move,1.10 K/sq.ft,1200.00 sq.ft. - 4000.00 sq.ft.,15 Acres,254 units,"May, 2013","Kadam Lake View Township is a residential plot by Shankar. This plot is available for sale in Byrandahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 4000.0 sq.ft.. This project was launched on June 2013. There are 254 units in Kadam Lake View Township. The address of Kadam Lake View Township is Kolar Road, Near H Cross, Bangalore.Kadam Lake View Township ensures a coveted lifestyle and offers a convenient living. Sports enthusiasts can also make the most of Cycling & Jogging Track.Bank loan is approved from major banks such as PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.The firm has since then developed 4 and focuses on customer-centricity. Check out Kadam Lake View Township brochure for more details. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/9ecefe68427c720638049e4f3de4f180/v0/_p/kadam_lake_view_township-byrandahalli-bengaluru-shankar.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9ecefe68427c720638049e4f3de4f180/v0/large/kadam_lake_view_township-byrandahalli-bengaluru-shankar.jpeg', 'https://is1-3.housingcdn.com/012c1500/544aeddc44ef4d48bec7f042c4b15aaf/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/47151b46b7d3ffcb3443a8764d9e0d64/v0/_p.jpeg']"
43,Svamitva Sonata City,"Krishnahalli Village, Jangamakote Cross, H Cross, Bangalore, Bangalore",Residential Plots,Ready to Move,600/sq.ft,1200.00 sq.ft. - 2000.00 sq.ft.,40 Acres,252 units,"May, 2015","Svamitva Sonata City is a residential plot by Svamitva Infra Pvt. Ltd.. This plot is available for sale in Kalinayakanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 2000.0 sq.ft.. This project was launched on June 2015. There are 252 units in Svamitva Sonata City. The address of Svamitva Sonata City is Krishnahalli Village, Jangamakote Cross, H Cross, Bangalore.Svamitva Sonata City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium. Sports enthusiasts can also make the most of Cycling & Jogging Track.  Residents can also enjoy ATM, provisions in the project. Other provisions include access to Landscaped Garden.Bank loan is approved from major banks such as PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1254/465/PR/171208/001293.The firm has since then developed 19 and focuses on customer-centricity. Check out Svamitva Sonata City brochure for more details. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",[]
44,Vaibhav Greens Phase II,"Mallenahalli, H Cross, Bangalore",Residential Plots,"Jul, 2020",699/sq.ft,1200.00 sq.ft. - 1500.00 sq.ft.,3.5 Acres,62 units,"Oct, 2018","Vaibhav Greens Phase II is a residential plot by Vaibhav Group. This plot is available for sale in Mallenahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 1500.0 sq.ft.. This project was launched on October 2018. There are 62 units in Vaibhav Greens Phase II. The address of Vaibhav Greens Phase II is Mallenahalli, H Cross.Vaibhav Greens Phase II ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. Sports enthusiasts can also make the most of Cycling & Jogging Track.  It is an Earthquake Resistant Structure.  There is Security Guards. Other provisions include access to Landscaped Garden.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1254/465/PR/190301/002463.Check out Vaibhav Greens Phase II brochure for more details.Mallenahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/03455a30de4d08792fc257bf748279ab/v0/_p/vaibhav_greens_phase_ii-mallenahalli_karnataka-bengaluru-vaibhav_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/03455a30de4d08792fc257bf748279ab/v0/large/vaibhav_greens_phase_ii-mallenahalli_karnataka-bengaluru-vaibhav_group.jpeg', 'https://is1-3.housingcdn.com/012c1500/01f29dab0856c61ab5af0e6250a044b1/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1cc69bb5fe6fdacd91cbcf3a0a7abe60/v0/_p.jpeg']"
45,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
46,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
