,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,About,images,Project Area,Project Size,Launch Date
10,Aplite Greenstone Heritage Wing E And F,"CS No. 1492 And 1/1492 Of Fort Division, Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Oct, 2023",30.55 K/sq.ft,384.00 sq.ft. - 671.00 sq.ft.,"Beauty Greenstone Heritage Wing E And F is an upcoming housing project at Fort in Mumbai, being developed by Beauty Lifestyles And Homes Pvt Ltd. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Beauty Greenstone Heritage Wing E And F encompasses amenities such as . ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network. ","['https://is1-3.housingcdn.com/4f2250e8/c6c0d21e5f82b7ff48566bc237005a5f/v0/_p/aplite_greenstone_heritage_wing_e_and_f-fort-mumbai-aplite_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/c6c0d21e5f82b7ff48566bc237005a5f/v0/large/aplite_greenstone_heritage_wing_e_and_f-fort-mumbai-aplite_group.jpeg', 'https://img.youtube.com/vi/73Rg3nlq4s8/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/4c41dc3be1b4d44e7d4cf23765816a7c/v0/_p.jpeg']",,1 Building - 110 units,"Mar, 2017"
11,Greenstone Heritage,"Ramabai Ambedkar Marg, Near Hotel New Bengal, Chhatrapati Shivaji Terminus Area, Mumbai South , Mumbai", BHK ,,Price on request,On Request,"Greenstone Heritage in Fort, Mumbai is a residential project. The address of Greenstone Heritage is Ramabai Ambedkar Marg, Near Hotel New Bengal, Chhatrapati Shivaji Terminus Area.Life at Greenstone Heritage is suited for every age group. The property offers various offers a convenient living.Fort is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/c847bbd5a0109d96ec962caa7e5ce684/v0/_p/greenstone_heritage-fort-mumbai-reputed_builder.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c847bbd5a0109d96ec962caa7e5ce684/v0/large/greenstone_heritage-fort-mumbai-reputed_builder.jpg', 'https://is1-2.housingcdn.com/012c1500/e27d91d482a0b4d0e959cfcc04888497/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/6027a36dd7466850b48b569a2e761912/v0/_p.jpg']",,,
12,Gorai Laxmi CHSL Casa Bellisimo,"Borivali West, Western Suburbs, Mumbai",2 BHK Apartment,"Dec, 2021",20.33 K/sq.ft,627.00 sq.ft. - 668.00 sq.ft.,"Check out this residential project for sale by Jaydev Realtors Private Limited in Borivali West, Mumbai. It is currently Under Construction. Jaydev Gorai Laxmi CHSL Casa Bellisimo possession is Dec, 2021. The address of Jaydev Gorai Laxmi CHSL Casa Bellisimo is Borivali West.At Jaydev Gorai Laxmi CHSL Casa Bellisimo, all residents have easy access to some of the truly desired facilities such as Rainwater Harvesting, Power Backup. The property has Fire Sprinklers. Come home to Jaydev Gorai Laxmi CHSL Casa Bellisimo.Jaydev Realtors Private Limited is a renowned developer firm.Borivali West is a prime area, with many attractions work and recreational options just a drive away. ","['https://is1-2.housingcdn.com/4f2250e8/08743d0f316d15eae00b845929e543a6/v0/_p/gorai_laxmi_chsl_casa_bellisimo-borivali_west_1-mumbai-jaydev_realtors_private_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/08743d0f316d15eae00b845929e543a6/v0/large/gorai_laxmi_chsl_casa_bellisimo-borivali_west_1-mumbai-jaydev_realtors_private_limited.jpeg', 'https://is1-2.housingcdn.com/012c1500/4ee6d6ad211f29f87ea8246c089b03b8/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/7ea90f02bc799ef4da06060978bf1ab3/v0/_p.jpg']",,,
13,Dosti Tulip Dosti West County,"Thane West, Thane","2, 3 BHK Apartments","Oct, 2026",Price on request,580.00 sq.ft. - 923.00 sq.ft.,"Property for sale in Thane West, Thane. This project, that is, Dosti Tulip Dosti West County is a well designed project by Dosti Realty. It is offering Under Construction units. If you are looking at Apartment, you should check out Dosti Tulip Dosti West County. Set in an expanse of 2.77 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 580.0 - 923.0 sq.ft.. Dosti Tulip Dosti West County was launched in January 2022. Project possession is slated for Oct, 2026. There are 3 buildings  in this project. Total number of flats at Dosti Tulip Dosti West County is 658. Dosti Tulip Dosti West County is located in Thane West. There are 658 units in this residential project.Come home to Dosti Tulip Dosti West County. It offers multiple facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. There is provision for Closed Car Parking. These amenities make this property totally aspirational.Dosti Tulip Dosti West County has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is P51700032666.Dosti Realty is a renowned name in the real estate space. Founded in 1980, the company has developed as many as 38 projects.Social infrastructure like banks, schools and parks surround Thane West area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/be2da2c59b6b4e0f816aad57500b79ff/v0/_p/dosti_tulip_dosti_west_county-thane_west-thane-dosti_realty.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/be2da2c59b6b4e0f816aad57500b79ff/v0/large/dosti_tulip_dosti_west_county-thane_west-thane-dosti_realty.jpeg', 'https://img.youtube.com/vi/4i-KJdpM3J8/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2e98ef7d1058e81d83f047e04918386f/v0/_p.jpeg']",2.77 Acres,3 Buildings - 658 units,"Jan, 2022"
14,Sumit One,"Ramdas Sutrale Marg , Off Chandavarkar Marg , Near Raichura Circle, Borivali West, Western Suburbs, Mumbai","3, 4 BHK Apartments","Dec, 2024",26.35 K/sq.ft,931.00 sq.ft. - 1313.00 sq.ft.,"Sumit Woods has lauched Sumit One in Borivali West, Mumbai. A residential project spread over 0.31 Acres , it offers ample amount of facilities for residents. The project was launched in January 2022. It offers Under Construction units. Popular configurations include 3 BHK, 4 BHK units. As per the area plan, units are in the size range of 931.0 - 1313.0 sq.ft.. There are 16 units in Sumit One. Overall, there is 1 building. The possession date of Sumit One is Dec, 2024. The address of Sumit One is Ramdas Sutrale Marg , Off Chandavarkar Marg , Near Raichura Circle, Borivali West.Enjoy a host of facilities at Sumit One which includes Gymnasium. There is provision for Closed Car Parking. There is 24x7 Security. It is a Gated Community. Other provisions include access to Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant. Own a home in Sumit One today!.This is a RERA registered project with RERA ID P51800030624 and fulfils all conditions placed by the state regulatory body.This project has been developed by Sumit Woods. Sumit Woods is a reputed developer firm with experience in developing livable spaces for homebuyers since 1984.Borivali West is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/c275636686d34c66a4d3ac983346764a/v0/_p/sumit_one-borivali_west_1-mumbai-sumit_woods.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/c275636686d34c66a4d3ac983346764a/v0/large/sumit_one-borivali_west_1-mumbai-sumit_woods.jpeg', 'https://is1-2.housingcdn.com/012c1500/fcb82cd98aee22fe92b23724706640ad/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/190030ae2410ff925d70afae4d7e54c6/v0/_p.jpeg']",0.31 Acres,1 Building - 16 units,"Dec, 2021"
15,Sumit One,"Ramdas Sutrale Marg , Off Chandavarkar Marg , Near Raichura Circle, Borivali West, Western Suburbs, Mumbai","3, 4 BHK Apartments","Dec, 2024",26.35 K/sq.ft,931.00 sq.ft. - 1313.00 sq.ft.,"Sumit Woods has lauched Sumit One in Borivali West, Mumbai. A residential project spread over 0.31 Acres , it offers ample amount of facilities for residents. The project was launched in January 2022. It offers Under Construction units. Popular configurations include 3 BHK, 4 BHK units. As per the area plan, units are in the size range of 931.0 - 1313.0 sq.ft.. There are 16 units in Sumit One. Overall, there is 1 building. The possession date of Sumit One is Dec, 2024. The address of Sumit One is Ramdas Sutrale Marg , Off Chandavarkar Marg , Near Raichura Circle, Borivali West.Enjoy a host of facilities at Sumit One which includes Gymnasium. There is provision for Closed Car Parking. There is 24x7 Security. It is a Gated Community. Other provisions include access to Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant. Own a home in Sumit One today!.This is a RERA registered project with RERA ID P51800030624 and fulfils all conditions placed by the state regulatory body.This project has been developed by Sumit Woods. Sumit Woods is a reputed developer firm with experience in developing livable spaces for homebuyers since 1984.Borivali West is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/c275636686d34c66a4d3ac983346764a/v0/_p/sumit_one-borivali_west_1-mumbai-sumit_woods.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/c275636686d34c66a4d3ac983346764a/v0/large/sumit_one-borivali_west_1-mumbai-sumit_woods.jpeg', 'https://is1-2.housingcdn.com/012c1500/fcb82cd98aee22fe92b23724706640ad/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/190030ae2410ff925d70afae4d7e54c6/v0/_p.jpeg']",0.31 Acres,1 Building - 16 units,"Dec, 2021"
16,Vora Centrico,"Plot No. 213A 213B 215 PT 214 214 / 1 TO 31, Edward Compound, Gautam buddha Marg, Near Orlem Church, Malad West, Western Suburbs, Mumbai","2, 3.5 BHK Apartments","Jun, 2023",21.60 K/sq.ft,752.00 sq.ft. - 1308.00 sq.ft.,"Centrico Luxury Apartments is a sprawling new abode set in the thick of cordial ambiance of plush meadows. In a single sweep, it fulfills your penchant for fine living, safeguards your privacy and offers the choicest conveniences, all under one roof. The project promises that the occupants need not go looking for their dreams and instead they will find their way looking for them. Elegance, Comfort, Luxury, Connectivity, Greenery, Warmth, Happiness, Peace of Mind and ample Space are some of the perks offered by this grand project. Savor each feature to see how it will completely redefine your lifestyle.","['https://is1-3.housingcdn.com/4f2250e8/f8fe32e981a5a121d35ff7dc6100ad5d/v5/_p/vora_centrico-malad_west-mumbai-vora_skyline.jpg', 'https://is1-3.housingcdn.com/4f2250e8/f8fe32e981a5a121d35ff7dc6100ad5d/v5/large/vora_centrico-malad_west-mumbai-vora_skyline.jpg', 'https://img.youtube.com/vi/c25nXTTDvUQ/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0385eb04251b47cd21e47250f9792bd8/v0/_p.jpg']",1 Acres,2 Buildings - 390 units,"Aug, 2013"
17,Yogi Residency,"Yogi Nagar, Western Suburbs, Mumbai", BHK ,,Price on request,On Request,,[],,,
18,Modispaces Volga,"Rayani Gram Layout, TPS Borivali III, Shimpoli, Borivali West, Western Suburbs, Mumbai","1, 2 BHK Apartments","Dec, 2023",Price on request,420.00 sq.ft. - 689.00 sq.ft.,,"['https://is1-3.housingcdn.com/4f2250e8/01f8deaa581a4c8c5bb550362ea93961/v0/_p/modispaces_volga-borivali_west_1-mumbai-modispaces_real_estate_pvt_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/01f8deaa581a4c8c5bb550362ea93961/v0/large/modispaces_volga-borivali_west_1-mumbai-modispaces_real_estate_pvt_ltd.jpg', 'https://img.youtube.com/vi/UCRVkULSU3g/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/509ff93ed3ddd4b1fb56b146e76aec07/v0/_p.jpeg']",0.64 Acres,1 Building - 52 units,
19,Pranav Borivali Shivdarshan CHSL,"Plot No 719/11 At Borivali West, Western Suburbs, Mumbai","1, 2 BHK Apartments","Sep, 2023",27.44 K/sq.ft,430.00 sq.ft. - 711.00 sq.ft.,"Pranav Borivali Shivdarshan CHSL is a project by Pranav Constructions Pvt Ltd in Mumbai. It is a Under Construction project. Pranav Borivali Shivdarshan CHSL offers some of the most conveniently designed Apartment. Located in Borivali West, it is a residential project. It has 67 units. There is 1 building in this project. Pranav Borivali Shivdarshan CHSL offers some of the most exclusive 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 430.0 - 938.0 sq.ft.. Launched in November 2020, Pranav Borivali Shivdarshan CHSL is slated for possession in Sep, 2023. The address of Pranav Borivali Shivdarshan CHSL is Plot No 719/11 At Borivali West.Pranav Borivali Shivdarshan CHSL ensures a coveted lifestyle and offers a convenient living. The property has Fire Protection And Fire Safety Requirements. There is 24x7 Security. Some other provisions include access to Aggregate area of recreational Open Space, Electrical Meter Room, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains. There is provision for Closed Car Parking.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Pranav Borivali Shivdarshan CHSL is P51800026908.Till date, Pranav Constructions Pvt Ltd has developed 10 projects with a focus on healthy and sustainable lifestyle.Borivali West is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/d77e9a95315e51a49123c1322a80c49a/v0/_p/pranav_borivali_shivdarshan_chsl-borivali_west_1-mumbai-pranav_constructions_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d77e9a95315e51a49123c1322a80c49a/v0/large/pranav_borivali_shivdarshan_chsl-borivali_west_1-mumbai-pranav_constructions_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/b3c01308205f691783f1945331afe0f9/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/1a674d4f2ee2f45d01e0ed2f37b036fc/v0/_p.jpeg']",0.35 Acres,1 Building - 67 units,"Oct, 2020"
