,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Project Area
10,Giridhari Prospera County,"Rajendra Nagar Road, Kismatpur, West Hyderabad, Hyderabad","4, 4.5 BHK Villa, Triplexes","Dec, 2023",14.00 K/sq.ft,4750.00 sq.ft. - 6150.00 sq.ft.,98 units,"Jun, 2020","Giridhari Constructions present a premier housing project located in Rajendra Nagar, Hyderabad. The project offers luxurious and contemporary 4.5 BHK and 5 BHK triplex villas of varying carpet area.The project offers ultra-luxury level amenities such as a gymnasium, kids play area, crche, grocery shop, library, salon, cafeteria, swimming pool, toddler pool, yoga/meditation area and Amphitheatre along with all the basic essential facilities.Schools, healthcare centres, bank branches, parks, groceries, restaurants and utility stores are located in near the project. The Falaknuma railway station and Rajiv Gandhi International airport are 11.6 kilometres and 21.0 kilometres away, respectively, from here.","['https://is1-2.housingcdn.com/4f2250e8/c7d76723e79c2324ca777a23d2cf9adf/v0/_p/giridhari_prospera_county-kismatpur-hyderabad-giridhari_constructions.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c7d76723e79c2324ca777a23d2cf9adf/v0/large/giridhari_prospera_county-kismatpur-hyderabad-giridhari_constructions.jpg', 'https://img.youtube.com/vi/CeWoxqiD9wg/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/263b9b435834ca805e223d4f6a859b9e/v0/_p.jpeg']",
11,KSR Heights,"Bachupally, Hyderabad, North Hyderabad, Hyderabad", BHK ,,Price on request,On Request,,,"KSR Heights is a project by KSR Constructions Builders in Hyderabad. Located in Bachupally, it is a residential project. The address of KSR Heights is Bachupally, Hyderabad.KSR Heights ensures a coveted lifestyle and offers a convenient living.The firm has since then developed 10 projects and focuses on customer-centricity.Bachupally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",[],
12,Vaishnavi Triumph Villas,"Kismatpur, West Hyderabad, Hyderabad",3 BHK Triplex,"Mar, 2020",7.00 K/sq.ft,3264.00 sq.ft. - 3661.00 sq.ft.,109 units,"Dec, 2017","Vaishnavi Estates presents villas of alluring architecture in Kismatpur, Hyderabad. Triumph Villas come in 3 BHK triplex configurations of 3,264 square foot and 3,661 square foot carpet areas. The project offers a plethora of amenities to ensure luxurious and rejuvenating urban lifestyle to its residents. A badminton court, library, jogging track, gymnasium, swimming pool, indoor games, aerobics, cricket area, tennis court, gated community and landscaped garden are few of the several facilities provided here.Kismatpur is surrounded by developed areas; hence, the locality enjoys great connectivity via well-developed road and rail public transport. The civic utilities available in this locality include hospitals, parks, ATMs, bank branches, schools, hotels and recreational centres.","['https://is1-3.housingcdn.com/4f2250e8/006fe354a7bdf1dbc9fb4db996f902a7/v2/_p/vaishnavi_triumph_villas-kismatpur-hyderabad-vaishnavi_estates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/006fe354a7bdf1dbc9fb4db996f902a7/v2/large/vaishnavi_triumph_villas-kismatpur-hyderabad-vaishnavi_estates.jpeg', 'https://img.youtube.com/vi/9KjKTb3uv38/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/492de5bad60885b4e998e927c4671e82/v2/_p.jpeg']",11 Acres
13,Alekhya NSR County Phase II,"Sangareddy, Peddapur, Mumbai Highway, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,18.00 K/sq.yd,167.00 sq.yd. - 500.00 sq.yd.,1400 units,"Dec, 2019","NSR COUNTY With Its Seemingly Endless List Of Features And Facilities, Offers Much More Then Open Plots. The Place Ensures You Get More Out Of Life Here Every Moment. Situated In The Picturesque Surroundings With Peaceful And Serene Setting, This Project Boasts Open Spaces And Vast Green Areas.NSR COUNTY Is A Getaway For Those Looking To Escape From The Hustle And Bustle Of The City Such As Teeming Traffic, Noise, Pollution Yet Well Connected To All Important City Places.","['https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/_p/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/large/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://img.youtube.com/vi/k83Kqb9Yc_g/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/c42f8b4472599d0d7ec8be8ca47034f5/v0/_p.jpeg']",100 Acres
14,Lake View Park,"Kandi, North Hyderabad, Hyderabad",Residential Plots,Under Construction,30.00 K/sq.yd,177.00 sq.yd. - 533.00 sq.yd.,590 units,"Sep, 2021","Located near Sangareddy in North Hyderabad, Lake View Park is an upcoming residential project from KKR And SILPA Group. The project ready-to-move and offers all lifestyle facilities that make for a comfortable lifestyle. Lake View Park has Basketball Court, Cycling & Jogging Track, Gymnasium, Indoor Game Room   Billiards/Snooker Table, Carom Board, Table Tennis, Foosball Table and Cricket Pitch. Restaurants, banks, hospitals, ATMs and schools are all within the vicinity, making everyday life easy. Sangareddy is also well-connected by public transport with other parts of North Hyderabad.","['https://is1-2.housingcdn.com/4f2250e8/713381cbb01259844945a940c828e399/v0/_p/lake_view_park-sangareddy-hyderabad-kkr_and_silpa_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/713381cbb01259844945a940c828e399/v0/large/lake_view_park-sangareddy-hyderabad-kkr_and_silpa_group.jpeg', 'https://is1-3.housingcdn.com/012c1500/25da250eb4cbdac9701802987e62245c/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/262af42b665313ff2ef779b2ab12db30/v0/_p.jpeg']",63 Acres
15,Myneni Peacock Avenue,"Sadashivpet, Hyderabad",Residential Plots,"May, 2020",333/sq.ft,3375.00 sq.ft. - 5445.00 sq.ft.,,,"Myneni Peacock Avenue is a residential plot by Myneni Infra. This plot is available for sale in Sadasivpet, Hyderabad. This project offers plots in various sizes. The minimum plot size is 3375.0 sq.ft. and the maximum size is 5445.0 sq.ft.. The address of Myneni Peacock Avenue is Sadashivpet.Myneni Peacock Avenue ensures a coveted lifestyle and offers a convenient living.This residential land for sale is RERA approved. For details, check RERA ID No RERA Required.The firm has since then developed 2 and focuses on customer-centricity. Check out Myneni Peacock Avenue brochure for more details.Sadasivpet is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/04efdc5f4a3e27613725f63d452b57bf/v0/_p/myneni_peacock_avenue-sadashivpet-hyderabad-myneni_infra.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/04efdc5f4a3e27613725f63d452b57bf/v0/large/myneni_peacock_avenue-sadashivpet-hyderabad-myneni_infra.jpeg', 'https://is1-2.housingcdn.com/012c1500/a4a1f46f74f58517e5696fa1ae691111/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/344a96a5a5ec92fc6bee9e3982411004/v0/_p.jpeg']",
16,Sai Krishna County,"Sanga Reddy, North Hyderabad, Hyderabad",Residential Plots,"Sep, 2022",21.01 K/sq.yd,171.00 sq.yd. - 300.00 sq.yd.,218 units,,"Sai Krishna County is a residential plot by Sai Krishna Group. This plot is available for sale in Sangareddy, Hyderabad. This project offers plots in various sizes. The minimum plot size is 171.0 sq.yd. and the maximum size is 300.0 sq.yd.. There are 218 units in Sai Krishna County. The address of Sai Krishna County is Sanga Reddy.Sai Krishna County ensures a coveted lifestyle and offers a convenient living. Sports enthusiasts can also make the most of Cycling & Jogging Track. It is aGated Community. Other provisions include access to Landscaping & Tree Planting.The firm has since then developed 1 and focuses on customer-centricity. Check out Sai Krishna County brochure for more details.Sangareddy is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/c053b78853c68c1ce7e7908c05a4673c/v0/_p/sai_krishna_county-sangareddy-hyderabad-sai_krishna_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/c053b78853c68c1ce7e7908c05a4673c/v0/large/sai_krishna_county-sangareddy-hyderabad-sai_krishna_group.jpeg', 'https://is1-2.housingcdn.com/012c1500/064685c0574341091671cc2ce2d66a07/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/0987de35492cf9a36ae1f292309558c9/v0/_p.jpeg']",
17,Alekhya NSR County Phase II,"Sangareddy, Peddapur, Mumbai Highway, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,18.00 K/sq.yd,167.00 sq.yd. - 500.00 sq.yd.,1400 units,"Dec, 2019","NSR COUNTY With Its Seemingly Endless List Of Features And Facilities, Offers Much More Then Open Plots. The Place Ensures You Get More Out Of Life Here Every Moment. Situated In The Picturesque Surroundings With Peaceful And Serene Setting, This Project Boasts Open Spaces And Vast Green Areas.NSR COUNTY Is A Getaway For Those Looking To Escape From The Hustle And Bustle Of The City Such As Teeming Traffic, Noise, Pollution Yet Well Connected To All Important City Places.","['https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/_p/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/large/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://img.youtube.com/vi/k83Kqb9Yc_g/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/c42f8b4472599d0d7ec8be8ca47034f5/v0/_p.jpeg']",100 Acres
18,Alekhya NSR County Phase II,"Sangareddy, Peddapur, Mumbai Highway, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,18.00 K/sq.yd,167.00 sq.yd. - 500.00 sq.yd.,1400 units,"Dec, 2019","NSR COUNTY With Its Seemingly Endless List Of Features And Facilities, Offers Much More Then Open Plots. The Place Ensures You Get More Out Of Life Here Every Moment. Situated In The Picturesque Surroundings With Peaceful And Serene Setting, This Project Boasts Open Spaces And Vast Green Areas.NSR COUNTY Is A Getaway For Those Looking To Escape From The Hustle And Bustle Of The City Such As Teeming Traffic, Noise, Pollution Yet Well Connected To All Important City Places.","['https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/_p/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/large/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://img.youtube.com/vi/k83Kqb9Yc_g/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/c42f8b4472599d0d7ec8be8ca47034f5/v0/_p.jpeg']",100 Acres
19,KNR Srihari Nivasam,"Sangareddy, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,24.65 K/sq.yd,147.00 sq.yd. - 250.00 sq.yd.,,,"KNR Srihari Nivasam is a residential plot by KNR Infra India Pvt Ltd. This plot is available for sale in Sangareddy, Hyderabad. This project offers plots in various sizes. The minimum plot size is 147.0 sq.yd. and the maximum size is 250.0 sq.yd.. The address of KNR Srihari Nivasam is Sangareddy.KNR Srihari Nivasam ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. It is aGated Community. Other provisions include access to Storm Water Drains, Water Storage.This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.The firm has since then developed 1 and focuses on customer-centricity. Check out KNR Srihari Nivasam brochure for more details.Sangareddy is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/2a39cc930749b6e55676d701f3c86c0f/v0/_p/knr_srihari_nivasam-sangareddy-medak-knr_infra_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/2a39cc930749b6e55676d701f3c86c0f/v0/large/knr_srihari_nivasam-sangareddy-medak-knr_infra_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/1df507d32a850d59d0f546e94fd5c267/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/206e67f642b1106adc88a0fb5df23b28/v0/_p.jpeg']",
20,Subhagruha Samyuktha Phase 2,"Sangareddy, North Hyderabad, Hyderabad",Residential Plots,"Dec, 2021",16.00 K/sq.yd,165.00 sq.yd. - 367.00 sq.yd.,418 units,,"Subhagruha Samyuktha Phase 2 is a residential plot by Subhagruha Projects India Pvt Ltd. This plot is available for sale in Sangareddy, Hyderabad. This project offers plots in various sizes. The minimum plot size is 165.0 sq.yd. and the maximum size is 367.0 sq.yd.. There are 418 units in Subhagruha Samyuktha Phase 2. The address of Subhagruha Samyuktha Phase 2 is Sangareddy.Subhagruha Samyuktha Phase 2 ensures a coveted lifestyle and offers a convenient living.  There is 24x7 Security. Other provisions include access to Storm Water Drains.Subhagruha Projects India Pvt Ltd is a reputed developer firm established in 2016. The firm has since then developed 40 and focuses on customer-centricity. Check out Subhagruha Samyuktha Phase 2 brochure for more details.Sangareddy is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/b20efa8208adc3d42f907df4092331af/v0/_p/subhagruha_samyuktha_phase_2-sangareddy-hyderabad-subhagruha_projects_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/b20efa8208adc3d42f907df4092331af/v0/large/subhagruha_samyuktha_phase_2-sangareddy-hyderabad-subhagruha_projects_india_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/3398d0d2900c7196b05ea4ed012aacf7/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/4f047c720f853ddafe07b3b47eef01f3/v0/_p.jpeg']",31 Acres
21,Alekhya NSR County Phase II,"Sangareddy, Peddapur, Mumbai Highway, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,18.00 K/sq.yd,167.00 sq.yd. - 500.00 sq.yd.,1400 units,"Dec, 2019","NSR COUNTY With Its Seemingly Endless List Of Features And Facilities, Offers Much More Then Open Plots. The Place Ensures You Get More Out Of Life Here Every Moment. Situated In The Picturesque Surroundings With Peaceful And Serene Setting, This Project Boasts Open Spaces And Vast Green Areas.NSR COUNTY Is A Getaway For Those Looking To Escape From The Hustle And Bustle Of The City Such As Teeming Traffic, Noise, Pollution Yet Well Connected To All Important City Places.","['https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/_p/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/large/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://img.youtube.com/vi/k83Kqb9Yc_g/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/c42f8b4472599d0d7ec8be8ca47034f5/v0/_p.jpeg']",100 Acres
